approach,seed,ssim_mean,ssim_std,ssim_median,ssim_min,ssim_max,n_samples
baseline,42,0.09540481372087938,0.14022080608802914,0.04187568421717025,0.0010020303644490685,0.8353135333238071,100
baseline,123,0.08397662254003675,0.10246628613613058,0.04435342712313523,0.0008325926437632991,0.444783138977971,100
baseline,456,0.119749029012962,0.17884204491227756,0.03689540564706813,0.0008827167088664247,0.7585775604532103,100
trades,42,0.5544145614751593,0.14330550257616415,0.5618445009806263,0.09397386554272699,0.7977989694181877,100
trades,123,0.4840189777623421,0.1541282535375789,0.49272156164347825,0.10262628318613563,0.7566389528104381,100
trades,456,0.5143692817487208,0.14411033148923497,0.5300163312181718,0.12719799961461148,0.7730637217157148,100
tri_objective,42,0.48110533375700987,0.20172197594509517,0.5036322247949223,0.06341703840245493,0.8667267040206036,100
tri_objective,123,0.4910031465459815,0.19796707999234447,0.4821501174193469,0.037753788193662804,0.9261930370777745,100
tri_objective,456,0.4981570621096533,0.21647551896338574,0.48508650408048715,0.135507632293539,0.9298931529943142,100
