model,objective,mean,std,median,ci_lower,ci_upper,n_samples
TriObjective,accuracy,0.844454,0.019303,0.843532,0.815921,0.880510,10
TriObjective,robustness,0.670017,0.034746,0.668357,0.618658,0.734918,10
TriObjective,interpretability,0.727978,0.026772,0.733107,0.687892,0.760741,10
Baseline,accuracy,0.883442,0.020577,0.885589,0.857504,0.916997,10
Baseline,robustness,0.572403,0.034295,0.575982,0.529174,0.628329,10
Baseline,interpretability,0.581394,0.065188,0.581544,0.490945,0.697235,10
Adversarial,accuracy,0.804187,0.014331,0.805297,0.782582,0.825960,10
Adversarial,robustness,0.718374,0.028663,0.720594,0.675164,0.761919,10
Adversarial,interpretability,0.487359,0.042720,0.489581,0.415049,0.549271,10
