Attack,Type,Severity,Mean Acc (%),Std (%),Drop (%),Seed 42,Seed 123,Seed 456
🟢 Clean (No Attack),Baseline,—,82.8263,0.2044,0.0000,82.9365,83.0026,82.5397
🔵 FGSM (ε=2/255),Gradient (1-step),Weak,1.4550,0.2354,81.3713,1.1243,1.5873,1.6534
🔵 FGSM (ε=4/255),Gradient (1-step),Medium,2.4250,0.8088,80.4012,1.3228,2.7116,3.2407
🔵 FGSM (ε=8/255),Gradient (1-step),Strong,11.9268,4.2665,70.8995,6.7460,11.8386,17.1958
🟠 PGD-40 (ε=2/255),Iterative (40-step),Weak,0.0000,0.0000,82.8263,0.0000,0.0000,0.0000
🟠 PGD-40 (ε=4/255),Iterative (40-step),Medium,0.0000,0.0000,82.8263,0.0000,0.0000,0.0000
🟠 PGD-40 (ε=8/255),Iterative (40-step),Strong,0.0000,0.0000,82.8263,0.0000,0.0000,0.0000
🔴 Carlini-Wagner L2,Optimization,Maximum,0.0000,0.0000,82.8263,0.0000,0.0000,0.0000
