Model,Dataset,Baseline Acc,τ_conf,τ_stab,Selective Acc,Coverage,Improvement (pp),CI Lower,CI Upper,N_Selected,N_Total
Baseline,ISIC2018 TEST,0.757,0.55,0.4,0.9298486932599724,0.727,17.284869325997242,0.9106128469243908,0.9478206625201353,727,1000
Baseline,ISIC2019,0.771,0.55,0.4,0.9326287978863936,0.757,16.162879788639362,0.9156469013308134,0.9504582842381945,757,1000
Trades,ISIC2018 TEST,0.756,0.55,0.4,0.9386331938633193,0.717,18.263319386331933,0.9203281853281853,0.9559233247635966,717,1000
Trades,ISIC2019,0.746,0.55,0.4,0.931129476584022,0.726,18.5129476584022,0.91268758526603,0.9490657271314429,726,1000
Tri,OBJECTIVE ISIC2018 TEST,0.717,0.55,0.4,0.8960674157303371,0.712,17.906741573033713,0.8758356286756496,0.9153972217033808,712,1000
Tri,OBJECTIVE ISIC2019,0.727,0.55,0.4,0.9122085048010974,0.729,18.52085048010974,0.8905537980696154,0.9321730758850715,729,1000
